lat,lon,name,short_name
41.88098,-87.69598,California Ave & Madison St,CHI01836
41.949923,-87.713949,Bernard St & Elston Ave,CHI00698
41.96590014,-87.69363849,Rockwell St & Eastwood Ave,CHI00581
42.01920250193227,-87.66430289,Eastlake Ter & Howard St,CHI01097
41.795212,-87.580715,Shore Dr & 55th St,CHI00394
41.773258,-87.713143,Central Park Ave & 66th St,CHI01812
41.6706,-87.63244,Stewart Ave & 123rd St,CHI01953
41.789381,-87.596479,Woodlawn Ave & 58th St,CHI01996
42.01213228,-87.68291264,Ridge Blvd & Touhy Ave,CHI00793
41.803023,-87.664699,Ashland Ave & 50th St,CHI00679
41.760703,-87.702292,Kedzie Ave & 73rd St,CHI01802
41.75916,-87.595751,Woodlawn Ave & 75th St,CHI00710
41.99722,-87.75687,Le Mai Ave & Devon Ave,CHI02008
41.73648,-87.601252,Dauphin Ave & 87th St,CHI00881
41.93128,-87.75141,Lavergne Ave & Diversey Ave,CHI01943
41.746534,-87.673055,Damen Ave & 81st St,CHI01545
41.87947235,-87.62568861,Wabash Ave & Adams St,CHI00786
41.90965688,-87.71663195,Central Park Ave & North Ave,CHI00637
41.879255,-87.639904,Canal St & Adams St,CHI01743
41.957921,-87.673567,Ravenswood Ave & Berteau Ave,CHI00471
41.9536,-87.70931,Sawyer Ave & Irving Park Rd,CHI00579
41.87909,-87.65128,Sangamon St & Adams St,CHI02116
41.96708783918421,-87.66729087,Clark St & Leland Ave,CHI00461
41.94112,-87.64907,Halsted St & Melrose St,CHI02162
41.94602,-87.7717,Major Ave & Addison St,CHI01791
41.991178,-87.683593,2112 W Peterson Ave,CHI00611
41.920082,-87.677855,Damen Ave & Charleston St,CHI00403
41.87207763,-87.62954377,Federal St & Polk St,CHI01775
41.802406,-87.586924,Cornell Ave & Hyde Park Blvd,CHI02034
41.92459,-87.72785,Keystone Ave & Fullerton Ave,CHI00663
42.019159,-87.673573,Paulina St & Howard St,CHI01214
41.80068,-87.69895,Sacramento Ave & 51st St,CHI01890
41.743921,-87.575225,South Chicago Ave & 83rd St,CHI00730
41.933886,-87.707262,Kedzie Ave & George St,CHI02085
41.99751,-87.76539,Edgebrook Metra,CHI02027
41.878125,-87.639968,Canal St & Jackson Blvd,CHI00521
41.753966,-87.673408,Damen Ave & 77th St,CHI01807
41.80853,-87.68942,Rockwell St & 47th St,CHI01874
41.768898,-87.635876,Eggleston Ave & 69th St,CHI00771
41.883073,-87.656952,Racine Ave & Washington Blvd,CHI00791
41.97666,-87.76823,Farragut Ave & Central Ave,CHI01964
41.823773,-87.639915,Wallace St & Pershing Rd,CHI01935
